timestamp_utc,unix_ms,event_type,best_yes_bid,best_no_bid,best_yes_ask,best_no_ask,mid_yes,spread_yes,yes_depth_3,no_depth_3
2026-05-28T02:20:01.151804+00:00,1779934801151,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:01.184828+00:00,1779934801184,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:01.187264+00:00,1779934801187,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1218.65
2026-05-28T02:20:01.214062+00:00,1779934801214,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.215038+00:00,1779934801215,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.215773+00:00,1779934801215,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.239543+00:00,1779934801239,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.268746+00:00,1779934801268,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.269593+00:00,1779934801269,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.298778+00:00,1779934801298,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.322524+00:00,1779934801322,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.323157+00:00,1779934801323,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.346713+00:00,1779934801346,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.347354+00:00,1779934801347,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.347809+00:00,1779934801347,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.353352+00:00,1779934801353,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.353846+00:00,1779934801353,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.356118+00:00,1779934801356,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.357407+00:00,1779934801357,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
2026-05-28T02:20:01.381540+00:00,1779934801381,delta,0.59,0.79,0.21,0.41,0.4,-0.38,0.0,1219.65
