timestamp_utc,unix_ms,event_type,best_yes_bid,best_yes_ask,mid_yes,spread_yes,best_no_bid,best_no_ask,mid_no,spread_no,yes_depth_3,no_depth_3
2026-05-28T02:14:15.625680+00:00,1779934455625,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,2228.0
2026-05-28T02:14:15.626055+00:00,1779934455626,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,2228.0
2026-05-28T02:14:15.626490+00:00,1779934455626,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,2220.0
2026-05-28T02:14:15.626864+00:00,1779934455626,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,483.37,2054.0
2026-05-28T02:14:15.631729+00:00,1779934455631,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,2054.0
2026-05-28T02:14:15.663263+00:00,1779934455663,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,2054.0
2026-05-28T02:14:15.663953+00:00,1779934455663,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,2054.0
2026-05-28T02:14:15.664636+00:00,1779934455664,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3304.0
2026-05-28T02:14:15.665221+00:00,1779934455665,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3470.0
2026-05-28T02:14:15.665693+00:00,1779934455665,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3479.0
2026-05-28T02:14:15.666144+00:00,1779934455666,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3479.0
2026-05-28T02:14:15.666642+00:00,1779934455666,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3479.0
2026-05-28T02:14:15.676391+00:00,1779934455676,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3479.0
2026-05-28T02:14:15.677102+00:00,1779934455677,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,514.37,3479.0
