received_at_utc,trade_time,price,volume_24h
2026-05-28T02:14:47.730358+00:00,,74229.28,6444.09345616
2026-05-28T02:14:47.898841+00:00,,74229.29,6444.09345616
2026-05-28T02:14:48.144018+00:00,,74229.28,6444.09345616
2026-05-28T02:14:48.232541+00:00,,74229.28,6444.09345616
2026-05-28T02:14:48.476904+00:00,,74229.28,6444.09345616
2026-05-28T02:14:48.731372+00:00,,74229.28,6444.09345616
2026-05-28T02:14:48.903356+00:00,,74229.28,6444.52833998
2026-05-28T02:14:49.229211+00:00,,74229.28,6444.52833998
2026-05-28T02:14:49.478281+00:00,,74229.28,6444.52833998
2026-05-28T02:14:49.644673+00:00,,74229.29,6444.52833998
2026-05-28T02:14:49.729909+00:00,,74229.29,6444.52833998
2026-05-28T02:14:49.901208+00:00,,74230.82,6444.52833998
2026-05-28T02:14:49.983293+00:00,,74230.82,6444.52833998
2026-05-28T02:14:50.144249+00:00,,74234.7,6444.52833998
2026-05-28T02:14:50.229960+00:00,,74234.7,6444.52833998
2026-05-28T02:14:50.395015+00:00,,74235.17,6444.52833998
2026-05-28T02:14:50.478971+00:00,,74235.17,6444.52833998
2026-05-28T02:14:50.645439+00:00,,74236.0,6444.52833998
2026-05-28T02:14:50.731083+00:00,,74236.0,6444.52833998
2026-05-28T02:14:50.951040+00:00,,74236.79,6444.52833998
2026-05-28T02:14:50.980589+00:00,,74236.79,6444.52833998
2026-05-28T02:14:51.231544+00:00,,74236.79,6444.52833998
2026-05-28T02:14:51.395476+00:00,,74237.54,6444.52833998
2026-05-28T02:14:51.482057+00:00,,74237.54,6444.52833998
2026-05-28T02:14:51.733239+00:00,,74237.54,6444.52833998
2026-05-28T02:14:51.738352+00:00,,74240.1,6444.52833998
2026-05-28T02:14:51.986054+00:00,,74240.1,6444.52833998
2026-05-28T02:14:52.149510+00:00,,74250.0,6444.52833998
2026-05-28T02:14:52.239562+00:00,,74250.0,6444.52833998
2026-05-28T02:14:52.402004+00:00,,74249.37,6444.52833998
2026-05-28T02:14:52.480477+00:00,,74249.37,6444.52833998
2026-05-28T02:14:52.648233+00:00,,74251.19,6444.52833998
2026-05-28T02:14:52.734512+00:00,,74251.19,6444.52833998
2026-05-28T02:14:52.903313+00:00,,74251.17,6444.52833998
2026-05-28T02:14:52.977299+00:00,,74251.17,6444.52833998
2026-05-28T02:14:53.148380+00:00,,74251.18,6444.52833998
2026-05-28T02:14:53.232417+00:00,,74251.18,6444.52833998
2026-05-28T02:14:53.373344+00:00,,74251.17,6444.52833998
2026-05-28T02:14:53.485616+00:00,,74251.17,6444.52833998
2026-05-28T02:14:53.979630+00:00,,74251.17,6444.52833998
2026-05-28T02:14:54.145997+00:00,,74251.18,6444.52833998
2026-05-28T02:14:54.232091+00:00,,74251.18,6444.52833998
2026-05-28T02:14:54.395607+00:00,,74251.17,6444.52833998
2026-05-28T02:14:54.478459+00:00,,74251.17,6444.52833998
2026-05-28T02:14:54.979546+00:00,,74251.17,6444.52833998
2026-05-28T02:14:55.147990+00:00,,74253.56,6444.52833998
2026-05-28T02:14:55.230380+00:00,,74253.56,6444.52833998
2026-05-28T02:14:55.396511+00:00,,74253.55,6444.52833998
2026-05-28T02:14:55.479114+00:00,,74253.55,6444.52833998
2026-05-28T02:14:55.652203+00:00,,74253.68,6444.52833998
2026-05-28T02:14:55.730189+00:00,,74253.68,6444.52833998
2026-05-28T02:14:55.981509+00:00,,74253.68,6444.52833998
2026-05-28T02:14:56.390677+00:00,,74253.69,6444.52833998
2026-05-28T02:14:56.480781+00:00,,74253.69,6444.52833998
2026-05-28T02:14:56.641714+00:00,,74253.68,6444.52833998
2026-05-28T02:14:56.736337+00:00,,74253.68,6444.52833998
2026-05-28T02:14:56.981411+00:00,,74253.68,6444.52833998
2026-05-28T02:14:57.238658+00:00,,74253.68,6444.52833998
2026-05-28T02:14:57.738347+00:00,,74253.68,6444.52833998
2026-05-28T02:14:57.897093+00:00,,74253.69,6444.52833998
2026-05-28T02:14:57.979433+00:00,,74253.69,6444.52833998
2026-05-28T02:14:58.116042+00:00,,74255.99,6444.52833998
2026-05-28T02:14:58.230818+00:00,,74255.99,6444.52833998
2026-05-28T02:14:58.520454+00:00,,74255.99,6444.52833998
2026-05-28T02:14:58.650386+00:00,,74256.0,6444.52833998
2026-05-28T02:14:58.733926+00:00,,74256.0,6444.52833998
2026-05-28T02:14:58.888991+00:00,,74252.36,6444.67172181
2026-05-28T02:14:58.981131+00:00,,74252.36,6444.67172181
2026-05-28T02:14:59.162592+00:00,,74252.37,6444.67172181
2026-05-28T02:14:59.236246+00:00,,74252.37,6444.67172181
2026-05-28T02:14:59.479551+00:00,,74252.37,6444.67172181
2026-05-28T02:14:59.654604+00:00,,74240.01,6444.67172181
2026-05-28T02:14:59.739834+00:00,,74240.01,6444.67172181
2026-05-28T02:14:59.903642+00:00,,74232.85,6444.67172181
2026-05-28T02:14:59.988318+00:00,,74232.85,6444.67172181
